AWAY,AWAY_ML,HOME,HOME_ML,PULL_DATE,PULL_TIMESTAMP
ANA,−110,TEX,−120,20230614,003943
WSN,+240,HOU,−305,20230614,003943
CIN,−710,KCR,+480,20230614,003943
ATL,−260,DET,+220,20230614,003943
PIT,+110,CHC,−130,20230614,003943
PHI,−140,ARI,+120,20230614,003943
FLA,+140,SEA,−165,20230614,003943
CLE,+140,SDP,−165,20230614,003943
TBD,−205,OAK,+175,20230614,003943
CHW,+160,LAD,−190,20230614,003943
ATL,−175,DET,+150,20230614,003943
MIL,+130,MIN,−150,20230614,003943
SFG,+110,STL,−130,20230614,003943
TOR,−105,BAL,−115,20230614,003943
COL,+195,BOS,−230,20230614,003943
NYY,−105,NYM,−115,20230614,003943
